scenario,run_id,tls,avg_queue_tls,avg_wait_tls,vehicle_count_tls,flow_tls
default,20250815T161904,clusterJ4_J6_J7,25.278936994494664,1419.7860055733024,10800,367.02236117719025
default,20250815T161904,clusterJ4_J6_J7,23.77270435722002,1728.0245588764853,10800,388.9088944904573
default,20250815T161904,clusterJ4_J6_J7,21.118565906367973,846.3500237357867,10800,244.13952121527228
default,20250815T161904,clusterJ4_J6_J7,26.90261291002318,2109.173983282995,10800,379.2933904614736
default,20250815T161904,clusterJ4_J6_J7,25.02363884621949,1322.0395972008876,10800,460.8294930875576
default,20250815T161904,clusterJ4_J6_J7,25.126416387757573,1309.0479858058793,10800,435.5014315093351
default,20250815T161904,clusterJ4_J6_J7,25.772141672690164,1333.3751860198138,10800,459.2031974148561
default,20250815T161904,clusterJ4_J6_J7,18.603942686072564,1143.6108903993522,10800,203.3477057483384
default,20250815T161904,clusterJ4_J6_J7,25.555857307249713,1536.6587802071347,10800,497.12313003452243
default,20250815T161904,clusterJ4_J6_J7,25.190618832816465,1293.3624541866366,10800,380.6033267550042
default,20250815T161904,clusterJ4_J6_J7,24.47629567290834,1437.8690300862613,10800,378.7081843046497
default,20250815T161904,clusterJ4_J6_J7,18.907611635939904,1650.502920082678,10800,149.81896874609845
default,20250815T161904,clusterJ4_J6_J7,26.06426134678137,1569.9808662118066,10800,400.47463660634827
default,20250815T161904,clusterJ4_J6_J7,24.752816846685835,1937.6810941021058,10800,279.74201569663535
default,20250815T161904,clusterJ4_J6_J7,24.415296908160293,1011.9445715950231,10800,449.4194998127419
default,20250815T161904,clusterJ4_J6_J7,26.655384505990686,1811.623137910193,10800,383.9726952750027
default,20250815T161904,clusterJ4_J6_J7,20.999671343698648,1229.296978890153,10800,273.03754266211604
default,20250815T161904,clusterJ4_J6_J7,23.34778768877506,1777.9325855927464,10800,317.9369425064029
default,20250815T161904,clusterJ4_J6_J7,18.045000670151452,1180.378484787562,10800,180.94089264173704
default,20250815T161904,clusterJ4_J6_J7,20.586081375061926,1570.7936114760807,10800,232.62325801796368
default,20250815T161904,clusterJ4_J6_J7,24.256511510670475,1446.0906990421777,10800,453.7052596202319
